[Tue Apr 19 13:50:06.386845 2016] [:error] [pid 1213] [client 127.0.0.1:48672] PHP Parse error:  syntax error, unexpected ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 213, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Tue Apr 19 13:52:10.014922 2016] [:error] [pid 1216] [client 127.0.0.1:48675] PHP Parse error:  syntax error, unexpected ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 220, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Wed Apr 20 10:29:08.749963 2016] [:error] [pid 21555] [client 127.0.0.1:49745] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Model/Cargo.php on line 14, referer: http://jus.dev/Auth/login
[Wed Apr 20 16:22:27.242862 2016] [:error] [pid 21555] [client 127.0.0.1:51038] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 259, referer: http://jus.dev/Auth/login
[Wed Apr 20 16:35:39.532899 2016] [:error] [pid 5402] [client 127.0.0.1:51075] PHP Fatal error:  Call to a member function find() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 74
[Thu Apr 21 00:46:29.298923 2016] [:error] [pid 4067] [client 127.0.0.1:34530] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 275, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Thu Apr 21 01:20:30.076980 2016] [:error] [pid 1215] [client 127.0.0.1:34763] PHP Parse error:  syntax error, unexpected 'array' (T_ARRAY), expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 297, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Thu Apr 21 01:20:42.253655 2016] [:error] [pid 1214] [client 127.0.0.1:34766] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 299, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Thu Apr 21 01:21:57.483741 2016] [:error] [pid 1217] [client 127.0.0.1:34768] PHP Parse error:  syntax error, unexpected ',' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 299, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Thu Apr 21 01:22:12.903407 2016] [:error] [pid 1215] [client 127.0.0.1:34770] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 299, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Thu Apr 21 01:42:26.819669 2016] [:error] [pid 4069] [client 127.0.0.1:34873] PHP Parse error:  syntax error, unexpected ')', expecting ',' or ';' in /home/matias/Work/justicia/jus/app/Model/Audiencia.php on line 59, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Thu Apr 21 01:49:30.787373 2016] [:error] [pid 1216] [client 127.0.0.1:34896] PHP Fatal error:  Call to a member function query() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 295, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Thu Apr 21 01:49:55.161341 2016] [:error] [pid 1214] [client 127.0.0.1:34902] PHP Fatal error:  Call to a member function query() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 295, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Thu Apr 21 01:50:50.159929 2016] [:error] [pid 4067] [client 127.0.0.1:34905] PHP Fatal error:  Call to a member function query() on a non-object in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 295, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Thu Apr 21 15:31:08.892990 2016] [:error] [pid 6857] [client 127.0.0.1:37385] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 328
[Fri Apr 22 08:39:50.592797 2016] [:error] [pid 1217] [client 127.0.0.1:38091] PHP Parse error:  syntax error, unexpected 'throw' (T_THROW) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 234, referer: http://jus.dev/Auth/login
[Fri Apr 22 08:40:01.458457 2016] [:error] [pid 1219] [client 127.0.0.1:38094] PHP Parse error:  syntax error, unexpected 'throw' (T_THROW) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 234, referer: http://jus.dev/Auth/login
[Fri Apr 22 09:18:04.570835 2016] [:error] [pid 1214] [client 127.0.0.1:38181] PHP Parse error:  syntax error, unexpected ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 230, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Fri Apr 22 10:24:48.213785 2016] [:error] [pid 1214] [client 127.0.0.1:38648] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 102, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Fri Apr 22 10:52:49.794199 2016] [:error] [pid 25059] [client 127.0.0.1:38721] PHP Parse error:  syntax error, unexpected ';' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 234, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Fri Apr 22 11:01:34.503130 2016] [:error] [pid 1217] [client 127.0.0.1:38747] PHP Parse error:  syntax error, unexpected '{' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 254, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Fri Apr 22 12:01:48.890644 2016] [:error] [pid 4604] [client 127.0.0.1:38973] PHP Parse error:  syntax error, unexpected 'array' (T_ARRAY), expecting ')' in /home/matias/Work/justicia/jus/app/Controller/AudienciasController.php on line 84, referer: http://jus.dev/Audiencias/nuevaAudiencia
[Fri Apr 22 12:02:18.752789 2016] [:error] [pid 6857] [client 127.0.0.1:38977] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/matias/Work/justicia/jus/app/View/Audiencias/nueva_audiencia.ctp on line 36, referer: http://jus.dev/Auth/login
